Simulation,Population Happiness Percentage
0,0.4769736842105263
1,0.7894736842105263
2,0.8980263157894737
3,0.9396929824561403
4,0.9736842105263158
5,0.9857456140350878
6,0.9978070175438597
7,1.0
8,1.0
